Ortalama Kapanış Fiyatı (USD),Ortalama Kapanış Fiyatı Etiket (USD),Hareketli Ortalama Yakınsaklık Diverjansı,Stokastik Osilatörü,Ortalama Gerçek Fark
451.16,442.095,-7.855017950233588,6.79562143051401,11.529999999999802
442.095,366.56,-6.490690770400754,1.588114754098369,17.09499999999997
366.56,419.63,-10.3826035672517,0.0,78.31
419.63,419.21,-8.617632167246342,42.32226165317591,97.21500000000003
419.21,410.26,-6.748294442408408,46.04486422668241,21.889999999999986
410.26,458.75,-5.469412247543531,38.217674581310945,20.684999999999945
458.75,518.0,-0.5196249903043011,80.62442607897155,63.92500000000001
518.0,526.125,7.633523863714103,100.0,68.61500000000001
526.125,500.39999999999986,14.107758535360944,100.0,38.88499999999999
500.39999999999986,486.8250000000001,16.746201805147685,83.8780434305768,41.70999999999998
486.8250000000001,504.39999999999986,17.44859985292537,75.37053865196009,28.88499999999999
504.39999999999986,506.22500000000014,18.97917806676574,86.38485883495746,29.954999999999984
506.22500000000014,496.87000000000006,19.89287123723207,87.5285933632063,12.990000000000009
496.87000000000006,489.0,19.517325983128984,81.66577883621099,19.61500000000001
489.0,491.105,18.32902045488637,76.733619528092,16.349999999999852
491.105,499.85000000000014,17.300612483088642,78.05283113464733,12.724999999999966
499.85000000000014,463.26,16.87466311810853,77.3227462995729,21.25
463.26,459.0,13.613764669166333,45.74289043283131,57.715000000000146
459.0,435.72500000000014,10.76304024145865,42.066197730116954,18.26000000000016
435.72500000000014,445.45,6.915303083308995,0.0,25.535000000000025
445.45,441.0,4.848252741878806,10.757743362831711,21.580000000000155
441.0,448.56,3.079718790040742,5.8351769911503,20.45500000000004
448.56,459.985,2.436727287771829,18.205673758865057,15.205000000000041
459.985,454.0,2.8825815380409434,34.41134751773032,15.879999999999995
454.0,439.77,2.82891192323231,25.921985815602643,15.555000000000007
439.77,434.45500000000015,1.8296183729640063,5.73758865248205,22.194999999999993
434.45500000000015,430.005,0.833316034668032,0.0,11.520000000000039
430.005,429.005,-0.06794241856274397,0.0,16.689999999999998
429.005,439.0,-0.625679851876189,0.0,12.730000000000018
439.0,440.24500000000006,-0.1333638956101808,14.108264521137674,24.58000000000004
440.24500000000006,449.185,0.4556641104467527,32.81272806889525,9.980000000000018
449.185,453.24500000000006,1.6459939105094499,65.13879922530663,15.944999999999709
453.24500000000006,436.0,2.8701278120092066,78.24402840542301,6.560000000000059
436.0,441.25,2.5462724568309874,22.579083279535187,23.839999999999918
441.25,438.185,2.7532468561198105,39.525500322788886,10.105000000000018
438.185,445.0,2.7278408004166828,29.632020658489353,9.105000000000018
445.0,443.99500000000006,3.245576471296719,51.63008392511296,11.800000000000011
443.99500000000006,444.79499999999985,3.564668658918732,59.97199439888003,6.324999999999989
444.79499999999985,445.515,3.8590316190579284,65.14026402640184,4.455000000000155
445.515,442.83000000000015,4.116423509521084,68.11056105610538,7.050000000000011
442.83000000000015,443.655,4.090389272229384,57.033828382838784,5.1200000000000045
443.655,482.47500000000014,4.112663727806559,60.437293729372676,12.404999999999973
482.47500000000014,485.815,6.891366361215882,100.0,46.43000000000001
485.815,516.145,8.96998178295634,100.0,8.099999999999909
516.145,516.66,12.41609038796912,100.0,34.30000000000001
516.66,515.37,14.56183841024701,100.0,28.76999999999981
515.37,570.025,15.576016001914358,98.40069427225394,9.329999999999984
570.025,578.44,19.758659385832296,100.0,63.80000000000018
578.44,571.35,22.699772108887533,100.0,22.399999999999864
571.35,578.835,23.532571993404463,94.77177199321582,33.569999999999936
578.835,572.6800000000002,23.87174210876978,100.0,17.7199999999998
572.6800000000002,625.0,22.845547008050207,95.47443108709248,14.870000000000232
625.0,631.7,25.061449077962024,100.0,56.51999999999987
631.7,638.745,26.188943202955997,100.0,17.24000000000001
638.745,665.36,26.507917765384715,100.0,63.539999999999964
665.36,676.51,27.621406088737782,100.00000000000001,58.014999999999986
676.51,646.44,28.117826481362734,100.0,30.134999999999877
646.44,662.365,25.171896485058912,81.33920814198838,46.5
662.365,651.0799999999998,23.166157641965814,91.22191882834802,24.970000000000027
651.0799999999998,660.065,19.907453295854815,84.21869182077685,13.160000000000082
660.065,660.175,17.301813026741485,84.55651030661602,18.75
660.175,651.28,14.582917893510697,84.46652719665268,8.80499999999995
651.28,651.095,11.207793166017971,76.00798782807148,15.0
651.095,628.8,8.090195620339344,75.52248868342483,15.47999999999979
628.8,579.5550000000002,3.657071499768236,54.049889242030126,28.769999999999868
579.5550000000002,587.2950000000002,-3.50124144357504,0.0,75.68499999999983
587.2950000000002,560.475,-8.257548750152559,7.983084936310684,47.285000000000196
560.475,579.775,-13.640175044111956,0.0,47.14999999999998
579.775,583.4549999999998,-15.965973726033795,16.632912483302416,31.67999999999995
583.4549999999998,610.365,-17.165339907196092,19.804369371310205,25.725000000000023
610.365,609.25,-15.844805787411406,48.96456963391892,33.71500000000003
609.25,597.7,-14.783543025439688,47.87025223280007,16.694999999999936
597.7,594.51,-14.671293320019629,37.337011033099344,16.735000000000014
