Tarih,Ortalama Açılış Fiyatı (USD),Ortalama Yüksek Fiyatı (USD),Ortalama Düşük Fiyatı (USD),Ortalama Kapanış Fiyatı (USD)
2015-06-19,248.63751000000002,250.5105375,244.06844999999998,245.00500000000002
2015-06-20,244.705,245.9235425,240.71750000000003,244.95070249999998
2015-06-21,245.01625250000004,245.49744249999998,240.56084,243.14249999999998
2015-06-22,243.9380975,247.8986425,243.3675,247.0211425
2015-06-23,246.2825025,246.7800025,242.71052500000002,243.930525
2015-06-24,243.72565,243.85565000000003,239.27112499999998,240.38772250000002
2015-06-25,240.66746000000003,243.20229750000004,239.47907500000002,241.94473499999998
2015-06-26,242.0375,243.312455,240.615,242.6225
2015-06-27,242.925925,251.62937500000004,242.533425,251.26437500000003
2015-06-28,251.08812250000003,253.375,247.1376025,248.51
2015-06-29,248.992155,260.09204500000004,248.479675,259.646975
2015-06-30,257.28872499999994,269.59749999999997,256.0206525,263.01165
2015-07-01,263.0681775,265.00063750000004,254.78249999999997,258.1434
2015-07-02,258.54259499999995,260.950095,253.34501,254.70654249999998
2015-07-03,254.63903249999998,260.78248999999994,252.76126750000003,255.95986
2015-07-04,256.72661,261.52736999999996,254.20701000000003,260.83725
2015-07-05,260.78749999999997,274.54999499999997,258.1993875,270.8459925
2015-07-06,270.6468774999999,277.73,267.38441,270.46735
2015-07-07,269.4042675,271.8059525,264.455,265.655
2015-07-08,265.69250500000004,273.88329,264.125,270.40007749999995
2015-07-09,270.60850000000005,273.246345,266.635005,270.06743750000004
2015-07-10,269.26651,295.31,268.98651,285.3175
2015-07-11,286.24822249999994,298.3517075,283.6870675,292.6174975
2015-07-12,292.13313999999997,316.0056225,291.8856375,310.669375
2015-07-13,310.5118775,310.93039000000005,277.7425,291.70275
2015-07-14,292.31750000000005,296.7331275,286.1793775,287.9220225
2015-07-15,287.8853275000001,293.649975,284.972485,286.059985
2015-07-16,287.0120575,292.275,274.6356475,278.1273475
2015-07-17,279.1415975,280.82928,273.20375,279.7075
2015-07-18,279.73320000000007,282.39342250000004,271.998465,276.925
2015-07-19,277.3828475,278.1632675,274.43164,275.05
2015-07-20,275.29836750000004,279.7428575,274.34563,278.87852
2015-07-21,279.23369499999995,281.1267325,276.098125,276.7125
2015-07-22,276.44649999999996,278.2506775,274.9425,277.30375000000004
2015-07-23,277.689375,278.566875,275.894755,276.775
2015-07-24,276.49750249999994,290.375,276.0500025,288.9252225
2015-07-25,288.0067924999999,291.552925,286.51003749999995,288.8165325
2015-07-26,288.83172999999994,293.713625,287.74520249999995,292.451235
2015-07-27,292.81403750000004,296.7303975,286.47059250000007,294.49539749999997
2015-07-28,294.34175,297.168505,291.29499999999996,294.652505
2015-07-29,294.6484175,295.0734175,286.0725025,290.4556475
2015-07-30,289.722935,290.47625,284.1450025,288.1875
2015-07-31,287.55976499999997,290.4724425,281.7475025,286.87994249999997
2015-08-01,286.2807075,286.945,277.01000750000003,281.29185
2015-08-02,281.5408750000001,284.4849575,277.12629999999996,282.62282500000003
2015-08-03,283.07115,285.77750000000003,279.96,281.6200425
2015-08-04,281.31752,286.432905,280.56523,285.8271525
2015-08-05,284.90375,286.22749999999996,281.2975025,281.6375025
2015-08-06,281.49,283.2093775,278.11026499999997,278.58491000000004
2015-08-07,278.565,283.09000000000003,275.345455,280.0088525
2015-08-08,280.0525275,281.0024975,260.12316999999996,262.49
2015-08-09,262.6049925,268.84231750000004,260.285,267.1123175
2015-08-10,265.3825000000001,269.1725,262.4825,265.2693825
2015-08-11,264.58,271.255,263.4525,271.03999999999996
2015-08-12,270.9726175,271.395,265.82399499999997,267.24885
2015-08-13,267.2798349999999,267.805,262.483425,264.6149975
2015-08-14,264.6299975,267.9925,262.021595,266.2575
2015-08-15,266.45995249999993,267.4693075,262.02,262.6475
2015-08-16,262.6575,264.335,255.7466,258.394855
2015-08-17,258.685,261.005,256.078025,257.417275
2015-08-18,257.6371,258.1037075,204.8044025,219.9481925
2015-08-19,217.3008175,241.025,214.41081750000004,227.70100000000002
2015-08-20,227.61099999999996,237.66488500000006,227.34595,235.868525
2015-08-21,235.80249750000004,237.14991500000002,231.69451000000004,233.39373500000002
2015-08-22,233.57799999999997,235.259655,222.91499249999998,231.1875775
2015-08-23,231.36727249999998,233.1972725,226.065,228.8276025
2015-08-24,228.2202025,228.623805,209.4018825,211.0352425
2015-08-25,210.80025500000002,230.23249499999997,200.0375,223.22109749999998
2015-08-26,223.62040000000002,234.3822,220.6983525,226.26287250000001
2015-08-27,226.8656,230.09,224.04947249999995,225.43525
2015-08-28,225.22317500000005,236.602525,221.12545,231.7679
2015-08-29,231.90642500000004,234.0235275,227.71095999999997,230.46432999999996
2015-08-30,230.76,232.90751999999998,225.93698,229.0834425
2015-08-31,229.095,232.8225,225.16972500000003,230.35250000000002
2015-09-01,230.5563,231.89749999999998,226.47999999999996,228.2675
2015-09-02,228.42250000000004,231.46279250000003,226.38233,229.65999999999994
2015-09-03,229.32000250000002,230.4482075,226.3575,227.0897
2015-09-04,227.08739999999997,231.72999999999996,226.71250250000003,230.90749999999997
2015-09-05,230.967475,237.08247500000002,229.80681250000004,235.52022499999998
2015-09-06,235.785,244.0316675,235.5275,240.83499750000001
2015-09-07,240.412525,242.68980000000002,238.8654525,240.65999999999994
2015-09-08,240.5125025,246.5275,240.135,243.85442500000005
2015-09-09,243.60500000000002,244.59269999999998,237.9203425,238.625
2015-09-10,238.94250000000002,241.06464999999997,236.16000000000003,238.55327499999999
2015-09-11,239.0175,241.44721250000003,238.339535,240.74471249999996
2015-09-12,240.0775025,240.78000000000003,234.13999999999996,235.51999999999998
2015-09-13,235.46284999999997,236.49,228.85,230.215
2015-09-14,230.18000000000004,233.13450000000003,226.32999999999998,230.44340000000003
2015-09-15,230.50340000000003,231.96851999999998,228.65,230.38853
2015-09-16,230.06999999999996,231.47499750000003,225.825,229.02869249999998
2015-09-17,229.25,235.53000000000003,228.075,232.89749999999998
2015-09-18,232.7875,234.8324975,231.435,233.13945000000004
2015-09-19,232.94659499999997,233.7225,230.675,231.3825
2015-09-20,231.1552525,232.41750000000002,230.30749999999998,231.115
2015-09-21,230.75,231.635,226.29250000000002,226.84025000000003
2015-09-22,226.70000000000002,232.82704750000002,223.79000000000002,230.305
2015-09-23,230.6403425,231.95888,228.6907475,230.01
2015-09-24,229.81750000000002,235.61624999999998,229.64000000000001,233.85809999999998
2015-09-25,234.33075,237.3949975,233.08628749999997,235.625
2015-09-26,235.0525,235.841365,233.38500000000005,234.06750000000002
2015-09-27,234.01000000000002,234.5375,231.85,232.3375
2015-09-28,233.20399999999998,240.04250000000002,232.984,239.29450000000003
2015-09-29,239.21568249999999,240.59,235.83615,237.16240750000003
2015-09-30,236.70749999999998,238.32499749999997,235.33000499999997,236.425
2015-10-01,236.2125,239.15749999999997,235.65703249999996,237.7625
2015-10-02,237.70250000000001,239.35413499999999,236.32220749999996,237.56220750000003
2015-10-03,237.60750000000004,239.8375,236.965,239.2625
2015-10-04,239.04500000000004,240.05646500000003,238.1375,239.09176000000002
2015-10-05,238.756,240.8030475,236.94100250000002,240.43500249999997
2015-10-06,240.6275025,248.15249750000004,239.96500250000003,246.065
2015-10-07,246.5175,247.44999749999997,240.06,242.98222249999998
2015-10-08,243.6865,244.95499999999998,240.04000000000002,242.9125
2015-10-09,242.9625,244.92287249999998,241.9262875,243.79378749999995
2015-10-10,244.2750125,246.00501,243.35751,245.74501
2015-10-11,245.78501749999995,248.465,245.04885999999996,247.46752
2015-10-12,247.86225,248.225,245.01001499999998,245.97515749999997
2015-10-13,245.9411,250.8174975,243.925,250.04000000000002
2015-10-14,250.33249750000002,255.047525,247.17250000000004,253.01950000000002
2015-10-15,253.0925,256.2175,251.85001000000003,254.42217499999998
2015-10-16,254.611035,267.6619125,253.9900025,261.8825
2015-10-17,262.6575225000001,273.2323575,261.9200225,271.25
2015-10-18,270.02000000000004,271.22749500000003,258.9475,259.9
2015-10-19,262.04750000000007,266.596,260.39250000000004,264.4675075
2015-10-20,264.8125,272.2,263.78249999999997,270.645
2015-10-21,270.42093500000004,272.0749925,264.59749999999997,267.8082825
2015-10-22,267.715795,279.34749999999997,266.9200225,275.0874975
2015-10-23,274.0525,280.1652675,273.3925,278.14545
2015-10-24,278.3925,283.93469500000003,278.295,283.37877000000003
2015-10-25,283.82499749999994,295.34875,282.67,283.84250000000003
2015-10-26,284.33242250000006,286.90500000000003,280.713635,286.46
2015-10-27,286.4774,298.125,286.14475,294.59677500000004
2015-10-28,295.20061250000003,307.4775,293.732505,303.0575
2015-10-29,302.78999999999996,319.6911625,300.3075,314.3378025
2015-10-30,314.559,334.5875,313.9901,327.9175
2015-10-31,327.9975,333.5075,305.4026,310.9826
2015-11-01,313.31521,328.42,307.2350075,325.9975
2015-11-02,325.99499999999995,367.62249999999995,321.03499999999997,361.91749500000003
2015-11-03,359.95224,420.26000000000005,347.6225,402.56999750000006
2015-11-04,402.93760000000003,498.015,368.2913125,408.79564500000004
2015-11-05,405.31663,446.2343425,360.16499999999996,384.6625
2015-11-06,386.03337500000004,394.3475,350.7675225,371.41999999999996
2015-11-07,374.0774925,391.43999999999994,370.64,384.22249999999997
2015-11-08,381.724435,388.5,362.2025,372.96594999999996
2015-11-09,373.125345,385.125,358.245,375.6325
2015-11-10,375.465,380.79,324.6325025,337.39250000000004
2015-11-11,337.2525,341.265,296.6225,309.71500249999997
2015-11-12,310.87175,343.65,308.3075,336.535
2015-11-13,334.7425,341.7097,325.55,337.34209999999996
2015-11-14,337.57043999999996,345.0575,327.40500249999997,332.610775
2015-11-15,332.8685675,335.02499750000004,316.3600025,319.2850025
2015-11-16,319.677725,332.1375,315.6776825,329.19672
2015-11-17,331.01,342.78499750000003,329.005,334.5225
2015-11-18,334.45,336.9074975,328.84000249999997,333.0325075
2015-11-19,334.595,335.05997,324.46522,326.2424975
2015-11-20,325.52772,326.14522,310.6175,320.95250000000004
2015-11-21,321.53896000000003,327.3325,318.40146,325.6175
2015-11-22,326.33,326.3575,320.35582,323.645
2015-11-23,323.0075000000001,325.395,320.6475,323.1010625
2015-11-24,322.0625,323.65500000000003,317.0533075,321.13
2015-11-25,321.085,330.3025,316.5875025,329.2225
2015-11-26,329.22946,369.045,328.9525,352.28749999999997
2015-11-27,352.75500000000005,364.315,348.55750249999994,358.255
2015-11-28,356.67,359.4975,350.741965,356.937495
2015-11-29,357.29224750000003,373.524995,354.1950025,371.405
2015-11-30,371.1775,382.254995,368.51750000000004,377.17498249999994
2015-12-01,377.07429499999995,378.84250000000003,354.8125,362.658
2015-12-02,362.62415000000004,362.75415,348.38500250000004,359.04
2015-12-03,359.455,370.15999999999997,356.4495,361.4595
2015-12-04,362.27067500000004,364.53315000000003,356.0560125,364.0061175
2015-12-05,363.85499999999996,390.1835775,363.6000025,387.73749999999995
2015-12-06,389.0874975000001,401.6609925,382.3625,387.9837
2015-12-07,387.67137499999995,398.84000000000003,382.6925,395.17749999999995
2015-12-08,394.50500000000005,417.9175,388.145,417.6725
2015-12-09,416.8799975,423.2875,401.9175,417.31000000000006
2015-12-10,417.445,419.57250000000005,409.298215,415.55
2015-12-11,415.97076250000003,451.6025000000001,415.8582625,450.50225
2015-12-12,450.54725,467.61999750000007,405.826295,435.02
2015-12-13,433.9116425,441.575,419.8724975,432.7
2015-12-14,432.1275,447.6875,427.9375,443.375
2015-12-15,443.70249999999993,465.12250000000006,440.1525,464.8375
2015-12-16,464.0837075,464.2650075,439.7925,454.89215
2015-12-17,453.9944,458.20078750000005,447.7625024999999,454.73608750000005
2015-12-18,455.2150000000001,466.292685,453.2329824999999,463.5002475
2015-12-19,463.742735,465.5475,452.84749999999997,460.68999999999994
2015-12-20,460.93249999999995,461.3599974999999,433.52,442.2575
2015-12-21,442.55749999999995,447.0239375,425.70898750000003,438.63249749999994
2015-12-22,438.205285,443.0424999999999,433.42072999999993,435.56000000000006
2015-12-23,435.7075,445.57250000000005,433.29720749999996,443.0
2015-12-24,443.08500000000004,459.13500000000005,443.0825000000001,454.7905625
